t,j1,j2,j3,j4,j5,j6
10.8719,0.162904,0.328127,0.436852,-0.676938,1.01925,-4.26995e-05
10.903,0.164611,0.329213,0.436227,-0.681575,1.02251,-4.27299e-05
10.9357,0.166294,0.330272,0.435609,-0.685949,1.02566,-4.27603e-05
10.9751,0.167953,0.331302,0.434997,-0.690065,1.0287,-4.27907e-05
11.0038,0.169588,0.332304,0.434393,-0.693924,1.03164,-4.28211e-05
11.0267,0.1712,0.333276,0.433796,-0.69753,1.03446,-4.28515e-05
11.0517,0.172789,0.334216,0.433207,-0.700885,1.03717,-4.28818e-05
11.0799,0.174355,0.335123,0.432626,-0.703992,1.03977,-4.29122e-05
11.1024,0.175899,0.335998,0.432054,-0.706852,1.04225,-4.29426e-05
11.1209,0.177421,0.336838,0.43149,-0.70947,1.04462,-4.29731e-05
11.1394,0.17892,0.337644,0.430935,-0.711845,1.04686,-4.30036e-05
11.1602,0.180398,0.338413,0.430389,-0.71398,1.04899,-4.30342e-05
11.1833,0.181853,0.339145,0.429854,-0.715875,1.05099,-4.30649e-05
11.2029,0.183287,0.339839,0.429328,-0.717533,1.05287,-4.30957e-05
11.2209,0.184699,0.340495,0.428813,-0.718953,1.05462,-4.31266e-05
