t,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z,
10.2356,1.60106,0.122543,0.987175,2.69538,0.00495697,2.6547,
10.2719,1.60158,0.12451,0.986896,2.68625,0.00502424,2.64693,
10.3115,1.6021,0.126479,0.986614,2.67734,0.00508972,2.6394,
10.3457,1.60261,0.12845,0.986329,2.66865,0.00515338,2.63212,
10.3779,1.60312,0.130423,0.986042,2.66018,0.00521524,2.62508,
10.4133,1.60361,0.132397,0.985754,2.65195,0.00527524,2.61828,
10.4523,1.6041,0.134373,0.985464,2.64395,0.00533341,2.61172,
10.4968,1.60457,0.136352,0.985174,2.63618,0.00538975,2.60539,
10.5341,1.60504,0.138332,0.984884,2.62864,0.00544425,2.59928,
10.5724,1.6055,0.140315,0.984594,2.62134,0.00549693,2.5934,
10.6179,1.60594,0.142301,0.984305,2.61428,0.00554778,2.58773,
10.6594,1.60638,0.144289,0.984017,2.60745,0.00559682,2.58227,
10.7064,1.6068,0.14628,0.983731,2.60086,0.00564404,2.57703,
10.7416,1.60721,0.148274,0.983448,2.59451,0.00568946,2.57199,
10.7699,1.60761,0.15027,0.983169,2.58839,0.00573307,2.56715,
10.8003,1.608,0.15227,0.982893,2.58252,0.00577491,2.56251,
10.8336,1.60838,0.154272,0.982621,2.57688,0.00581496,2.55806,
10.8719,1.60874,0.156278,0.982354,2.57148,0.00585325,2.5538,
10.903,1.60909,0.158286,0.982093,2.56632,0.00588978,2.54973,
10.9357,1.60943,0.160298,0.981839,2.56139,0.00592455,2.54583,
10.9751,1.60975,0.162313,0.981591,2.55671,0.00595759,2.54212,
11.0038,1.61006,0.164331,0.981351,2.55226,0.00598889,2.53858,
11.0267,1.61035,0.166353,0.981119,2.54806,0.00601846,2.53521,
11.0517,1.61063,0.168377,0.980895,2.54409,0.00604631,2.53202,
11.0799,1.61089,0.170404,0.980682,2.54036,0.00607245,2.52899,
11.1024,1.61114,0.172434,0.980478,2.53687,0.00609688,2.52612,
11.1209,1.61137,0.174468,0.980285,2.53361,0.00611959,2.52342,
11.1394,1.61158,0.176504,0.980103,2.5306,0.00614062,2.52088,
11.1602,1.61178,0.178543,0.979932,2.52783,0.00615995,2.51849,
11.1833,1.61195,0.180585,0.979775,2.52529,0.00617759,2.51626,
11.2029,1.61211,0.182629,0.97963,2.523,0.00619353,2.51419,
11.2209,1.61226,0.184675,0.979498,2.52095,0.00620777,2.51227,
11.2363,1.61238,0.186724,0.97938,2.51915,0.00622031,2.51051,
11.25,1.61249,0.188773,0.979277,2.51759,0.00623114,2.50889,
