t,j1,j2,j3,j4,j5,j6
9.81335,-0.263911,0.390229,0.63129,1.01004,1.23573,1.48495e-06
9.84728,-0.26598,0.391508,0.62953,1.00574,1.23804,1.48566e-06
9.89095,-0.268037,0.392794,0.627737,1.0014,1.24036,1.48638e-06
9.92457,-0.270082,0.394085,0.62591,0.997014,1.24269,1.4871e-06
9.95201,-0.272113,0.395383,0.624049,0.992589,1.24503,1.48782e-06
9.98171,-0.274132,0.396686,0.622156,0.988123,1.24738,1.48855e-06
10.0084,-0.276138,0.397996,0.620229,0.983615,1.24975,1.48928e-06
10.037,-0.27813,0.399311,0.618268,0.979066,1.25213,1.49001e-06
10.0715,-0.280109,0.400632,0.616274,0.974476,1.25452,1.49075e-06
10.104,-0.282074,0.401959,0.614247,0.969844,1.25692,1.49148e-06
10.1417,-0.284025,0.403292,0.612185,0.965171,1.25933,1.49219e-06
10.1723,-0.285961,0.40463,0.610091,0.960458,1.26176,1.4929e-06
10.1987,-0.287883,0.405973,0.607963,0.955704,1.2642,1.49358e-06
10.2307,-0.28979,0.407323,0.605801,0.950909,1.26666,1.49424e-06
10.2722,-0.291682,0.408677,0.603607,0.946075,1.26912,1.49489e-06
10.3081,-0.293559,0.410038,0.601378,0.9412,1.27161,1.49552e-06
10.3501,-0.29542,0.411403,0.599117,0.936286,1.2741,1.49613e-06
10.3835,-0.297266,0.412774,0.596822,0.931332,1.27661,1.49673e-06
10.4129,-0.299095,0.414151,0.594494,0.926339,1.27913,1.49731e-06
10.4461,-0.300909,0.415532,0.592133,0.921308,1.28166,1.49788e-06
10.476,-0.302706,0.416919,0.589739,0.916237,1.28421,1.49843e-06
10.5106,-0.304487,0.418312,0.587312,0.911128,1.28678,1.49897e-06
10.5577,-0.306251,0.419709,0.584852,0.905981,1.28936,1.4995e-06
10.5969,-0.307998,0.421111,0.582359,0.900796,1.29195,1.50002e-06
10.6278,-0.309728,0.422519,0.579834,0.895574,1.29456,1.50052e-06
10.6607,-0.31144,0.423932,0.577276,0.890315,1.29718,1.50102e-06
10.7009,-0.313135,0.42535,0.574686,0.885018,1.29982,1.50151e-06
